           t           x           rho             U             p          rhoU             E
     0.06761    -0.01500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.06761    -0.00500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.06761     0.00500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.06761     0.01500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.06761     0.02500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.06761     0.03500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.06761     0.04500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.06761     0.05500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.06761     0.06500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.06761     0.07500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.06761     0.08500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.06761     0.09500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.06761     0.10500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.06761     0.11500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.06761     0.12500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.06761     0.13500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.06761     0.14500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.06761     0.15500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.06761     0.16500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.06761     0.17500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.06761     0.18500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.06761     0.19500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.06761     0.20500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.06761     0.21500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.06761     0.22500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.06761     0.23500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.06761     0.24500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.06761     0.25500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.06761     0.26500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.06761     0.27500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.06761     0.28500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.06761     0.29500      1.000000      0.000000      1.000000      0.000000      2.500000
